1,1,2,3,1,-1
1,1,3,2,1,-1
1,3,1,5,7,-1
1,3,1,6,3,-1
1,3,5,1,7,-1
1,3,6,1,3,-1
2,1,-1,-1,-1,-1
2,1,2,1,-1,-1
2,1,2,1,2,1
2,1,2,1,3,2
2,1,2,3,1,2
2,1,3,2,-1,-1
2,1,3,2,1,2
2,3,-1,-1,-1,-1
2,3,1,2,1,6
2,3,1,2,5,7
2,3,1,5,2,7
2,3,1,5,8,6
2,3,1,6,-1,-1
2,3,1,6,2,3
2,3,1,6,3,6
2,3,4,5,-1,-1
2,3,4,5,7,3
2,3,5,1,2,7
2,3,5,1,8,6
2,3,5,6,7,3
2,3,5,7,-1,-1
2,3,5,7,3,5
2,3,5,7,8,3
2,3,5,8,1,6
2,3,5,8,5,7
2,3,6,1,3,6
2,3,6,3,-1,-1
2,3,6,3,1,6
2,3,6,3,5,7
2,3,6,3,6,3
2,3,6,4,8,5
3,3,1,5,7,4
3,3,1,6,4,8
3,3,5,1,7,4
3,3,5,7,1,4
3,3,6,1,4,8
3,3,6,4,1,8
4,3,5,7,4,-1
4,3,6,4,8,-1
5,3,5,7,4,7
6,1,2,-1,-1,-1
6,1,2,1,2,-1
6,3,1,2,6,-1
6,3,5,8,6,-1
6,3,6,-1,-1,-1
6,3,6,3,6,-1
7,3,1,5,8,-1
7,3,1,6,4,-1
7,3,5,1,8,-1
7,3,6,1,4,-1
8,3,1,2,1,5
8,3,1,2,6,4
8,3,1,5,-1,-1
8,3,1,5,2,8
8,3,1,6,2,4
8,3,4,5,7,4
8,3,5,1,2,8
8,3,5,1,8,5
8,3,5,7,3,6
8,3,5,8,-1,-1
8,3,5,8,6,4
8,3,6,4,-1,-1
8,3,6,4,3,8
8,3,6,4,8,6
9,3,1,5,6,7
9,3,1,5,7,3
9,3,4,1,5,7
9,3,4,5,1,7
9,3,5,1,6,7
9,3,5,1,7,3
9,3,5,7,1,3
10,3,4,5,7,-1
10,3,5,6,7,-1
10,3,5,7,3,-1
11,3,5,7,4,8
12,3,1,2,5,-1
12,3,5,-1,-1,-1
12,3,5,8,5,-1
12,3,6,3,5,-1
13,1,2,1,2,3
13,1,2,3,-1,-1
13,3,1,2,-1,-1
13,3,1,2,1,2
14,1,2,1,3,-1
14,1,3,-1,-1,-1
14,3,1,-1,-1,-1
14,3,1,2,1,-1